"District","District Name","Founded Incidents","Age","Color","Race","Creed","National Origin","Ancestry","Marital Status","Sex","Religion","Gender Identity","Physical Attributes","Physical/Mental Abilities","Political Belief","Political Party Preference","Socioeconomic Status","Sexual Orientation","Familial Status","Other","Year","County","Enrollment"
18,"Adair-Casey","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Guthrie",273
27,"Adel DeSoto Minburn","19","0","0","1","0","0","0","0","3","0","0","4","2","0","0","0","0","0","8",2016,"Dallas",1679
9,"AGWSR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Hardin",553
441,"A-H-S-T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Pottawattamie",626
63,"Akron Westfield","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13",2016,"Plymouth",574
72,"Albert City-Truesdale","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Buena Vista",86
81,"Albia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Monroe",1169
99,"Alburnett","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Linn",603
108,"Alden","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Hardin",226
126,"Algona",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Kossuth",1406
135,"Allamakee",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Allamakee",1131
171,"Alta","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Buena Vista",518
225,"Ames","23","0","1","2","0","0","0","0","6","0","3","10","0","0","0","1","8","7","14",2016,"Story",4236
234,"Anamosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Jones",1217
243,"Andrew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Jackson",147
261,"Ankeny","22","0","0","3","0","1","1","0","4","2","0","12","4","0","0","0","0","0","9",2016,"Polk",10605
279,"Aplington-Parkersburg","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Butler",849
355,"Ar-We-Va","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Crawford",220
387,"Atlantic",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Cass",1461
414,"Audubon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Audubon",525
423,"Aurelia","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Cherokee",256
472,"Ballard","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Story",1674
504,"Battle Creek-Ida Grove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Ida",565
513,"Baxter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Jasper",432
540,"BCLUW",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Grundy",602
549,"Bedford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Taylor",459
576,"Belle Plaine",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Benton",526
585,"Bellevue","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Jackson",618
594,"Belmond-Klemme",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Wright",717
603,"Bennett","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Cedar",70
609,"Benton","13","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","12",2016,"Benton",1420
621,"Bettendorf","59","0","2","7","0","0","0","0","10","1","1","18","2","0","0","1","0","0","32",2016,"Scott",4544
720,"Bondurant-Farrar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Polk",1888
729,"Boone","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",2016,"Boone",1931
747,"Boyden-Hull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Sioux",624
1917,"Boyer Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Harrison",447
846,"Brooklyn-Guernsey-Malcom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Poweshiek",544
882,"Burlington",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Des Moines",3861
916,"CAL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Franklin",233
918,"Calamus-Wheatland",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Clinton",517
914,"CAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Cass",881
936,"Camanche",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,"Clinton",1042
